data,keyboard exceptions
"क़,क़","अॅ,ॲ"
"ख़,ख़","अॉ,ऑ"
"ग़,ग़",
"ज़,ज़",
"ड़,ड़",
"ढ़,ढ़",
"ऩ,ऩ",
"फ़,फ़",
"य़,य़",
"ऱ,ऱ",
"ऴ,ऴ",
"डाॅ,डॉ",
